"year,month,metric,value,unit"
"2022,Jul,it_avg_salary_amd_thousands,934.1,thousand_amd"
"2022,Aug,it_avg_salary_amd_thousands,950.5,thousand_amd"
"2022,Sep,it_avg_salary_amd_thousands,957.9,thousand_amd"
"2022,Oct,it_avg_salary_amd_thousands,966.9,thousand_amd"
"2022,Nov,it_avg_salary_amd_thousands,988.6,thousand_amd"
"2022,Dec,it_avg_salary_amd_thousands,1115.0,thousand_amd"

"2023,Jan,it_avg_salary_amd_thousands,1027.0,thousand_amd"
"2023,Feb,it_avg_salary_amd_thousands,1049.8,thousand_amd"
"2023,Mar,it_avg_salary_amd_thousands,1069.9,thousand_amd"
"2023,Apr,it_avg_salary_amd_thousands,1029.1,thousand_amd"
"2023,May,it_avg_salary_amd_thousands,1034.0,thousand_amd"
"2023,Jun,it_avg_salary_amd_thousands,1007.9,thousand_amd"
"2023,Jul,it_avg_salary_amd_thousands,1011.3,thousand_amd"
"2023,Aug,it_avg_salary_amd_thousands,1024.0,thousand_amd"
"2023,Sep,it_avg_salary_amd_thousands,998.7,thousand_amd"
"2023,Oct,it_avg_salary_amd_thousands,1014.9,thousand_amd"
"2023,Nov,it_avg_salary_amd_thousands,1034.0,thousand_amd"
"2023,Dec,it_avg_salary_amd_thousands,1206.5,thousand_amd"

"2024,Jan,it_avg_salary_amd_thousands,1048.6,thousand_amd"
"2024,Feb,it_avg_salary_amd_thousands,1107.6,thousand_amd"
"2024,Mar,it_avg_salary_amd_thousands,1097.4,thousand_amd"
"2024,Apr,it_avg_salary_amd_thousands,1072.8,thousand_amd"
"2024,May,it_avg_salary_amd_thousands,1042.0,thousand_amd"
"2024,Jun,it_avg_salary_amd_thousands,1007.9,thousand_amd"
"2024,Jul,it_avg_salary_amd_thousands,1023.3,thousand_amd"
"2024,Aug,it_avg_salary_amd_thousands,1025.6,thousand_amd"
"2024,Sep,it_avg_salary_amd_thousands,1016.2,thousand_amd"
"2024,Oct,it_avg_salary_amd_thousands,1028.8,thousand_amd"
"2024,Nov,it_avg_salary_amd_thousands,1053.8,thousand_amd"
"2024,Dec,it_avg_salary_amd_thousands,1247.3,thousand_amd"

"2025,Jan,it_avg_salary_amd_thousands,1016.6,thousand_amd"
"2025,Feb,it_avg_salary_amd_thousands,1102.4,thousand_amd"
"2025,Mar,it_avg_salary_amd_thousands,1102.5,thousand_amd"
"2025,Apr,it_avg_salary_amd_thousands,1043.5,thousand_amd"
"2025,May,it_avg_salary_amd_thousands,1038.8,thousand_amd"
"2025,Jun,it_avg_salary_amd_thousands,1012.6,thousand_amd"
"2025,Jul,it_avg_salary_amd_thousands,1018.1,thousand_amd"
"2025,Aug,it_avg_salary_amd_thousands,1057.1,thousand_amd"
"2025,Sep,it_avg_salary_amd_thousands,1032.8,thousand_amd"
